study_id,Study Class,Treatment Focus (Study level),Total N Randomized,Intervention Group,Treatment Focus (Arm level),Treatment Focus Subclass (Arm level),N Completed Outcome Measurement,N Completed Outcome Measurement Detail,Publication Treatment Name,NCPTSD Treatment Name,Psychotherapy,Psychotherapy Subclass,Pharmacotherapy,Pharmacotherapy Subclass,CIH,CIH Subclass,Nonpharm Biologic,Nonpharm Cognitive Therapy,Control,Other,Collaborative Care,Format,Delivery Method,Arm N Randomized,Outcome Assessment Type,PTSD Outcome Measure,PTSD Outcome Measure Detail,Analysis Type,Method for Handling Missing Data,Statistical Analysis Method,Assessment Point Category,Follow-up Assessment in Weeks,Measure Score Detail,Measure Score Mean,Measure Score Standard Deviation,Measure Score Type of Variance Measure,Measure Score Variance Value or Lower Bound,Measure Score Variance Upper Bound,Score Difference from Baseline Detail,Score Difference from Baseline,Score Difference from Baseline Standard Deviation,Score Difference from Baseline 95% CI Lower Bound,Score Difference from Baseline 95% CI Upper Bound,Effect Size 1 Detail,Effect Size 1 Type,Effect Size 1 Value,Effect Size 1 Type of Variance Measure,Effect Size 1 Variance Value or Lower Bound,Effect Size 1 Variance Upper Bound,Effect Size 1 p value,Effect Size 2 Detail,Effect Size 2 Type,Effect Size 2 Value,Effect Size 2 Type of Variance Measure,Effect Size 2 Variance Value or Lower Bound,Effect Size 2 Variance Upper Bound,Effect Size 2 p value,Diagnostic Change Definition 1,Percent Achieved Diagnostic Change Definition 1,Additional Defs of Diagnostic Change,Clinically Meaningful Response Definition 1,Percent Achieved Clinically Meaningful Response Definition 1,Additional Defs of Clinically Meaningful Response,Military Status (Study level),Active Duty Military Percent (Study level),Veteran Percent (Study level),Community Percent (Study level),Female Percent (Study level),Female Percent Detail  (Study level),Male Percent (Study level),Trauma Type (Study level),Trauma Detail (Study level),Risk of Bias Rating (Study level),Citation,PTSDPubs ID,Year Added to PTSD-Repository
acierno2017_PCL_A_26_ITT,Psychotherapy,PTSD,150,A,PTSD,,68,,PE delivered in-person,Prolonged Exposure (PE),Yes,TF,No,Not Applicable,No,Not Applicable,No,No,No,No,No,Individual,In Person,76,Self report,PCL,PCL-M,ITT,Multiple imputation,Mixed effects model; non-inferiority margin (delta) set at 8.8 for PCL and 5 for BDI-II and analyses conducted with per-protocol sample.,Assessment at 6 to <12 Months,26,,,,,,,,,,,,,Slope,-1.9,,,,p<0.0001,,,,,,,,,,,,,,Veteran,,1,,0.0379,,0.9621,Combat-related,,Medium,"Acierno RE, Knapp RG, Tuerk PW, et al. A non-inferiority trial of prolonged exposure for posttraumatic stress disorder: in person versus home-based telehealth. Behav Res Ther. 2017;89:57-65. doi: 10.1016/j.brat.2016.11.009. PMID: 27894058.",45948,2019
acierno2017_PCL_A_Baseline_Comp,Psychotherapy,PTSD,150,A,PTSD,,55,,PE delivered in-person,Prolonged Exposure (PE),Yes,TF,No,Not Applicable,No,Not Applicable,No,No,No,No,No,Individual,In Person,76,Self report,PCL,PCL-M,Completer,Multiple imputation,Mixed effects model; non-inferiority margin (delta) set at 8.8 for PCL and 5 for BDI-II and analyses conducted with per-protocol sample.,Baseline,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Veteran,,1,,0.0379,,0.9621,Combat-related,,Medium,"Acierno RE, Knapp RG, Tuerk PW, et al. A non-inferiority trial of prolonged exposure for posttraumatic stress disorder: in person versus home-based telehealth. Behav Res Ther. 2017;89:57-65. doi: 10.1016/j.brat.2016.11.009. PMID: 27894058.",45948,2019
acierno2017_PCL_A_Baseline_ITT,Psychotherapy,PTSD,150,A,PTSD,,68,,PE delivered in-person,Prolonged Exposure (PE),Yes,TF,No,Not Applicable,No,Not Applicable,No,No,No,No,No,Individual,In Person,76,Self report,PCL,PCL-M,ITT,Multiple imputation,Mixed effects model; non-inferiority margin (delta) set at 8.8 for PCL and 5 for BDI-II and analyses conducted with per-protocol sample.,Baseline,,,58.3,11.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Veteran,,1,,0.0379,,0.9621,Combat-related,,Medium,"Acierno RE, Knapp RG, Tuerk PW, et al. A non-inferiority trial of prolonged exposure for posttraumatic stress disorder: in person versus home-based telehealth. Behav Res Ther. 2017;89:57-65. doi: 10.1016/j.brat.2016.11.009. PMID: 27894058.",45948,2019
acierno2017_PCL_B_0_Comp,Psychotherapy,PTSD,150,B,PTSD,,43,,PE delivered via home-based telehealth,Prolonged Exposure (PE),Yes,TF,No,Not Applicable,No,Not Applicable,No,No,No,No,No,Individual,Video,74,Self report,PCL,PCL-M,Completer,Multiple imputation,Mixed effects model; non-inferiority margin (delta) set at 8.8 for PCL and 5 for BDI-II and analyses conducted with per-protocol sample.,End of Treatment,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Veteran,,1,,0.0379,,0.9621,Combat-related,,Medium,"Acierno RE, Knapp RG, Tuerk PW, et al. A non-inferiority trial of prolonged exposure for posttraumatic stress disorder: in person versus home-based telehealth. Behav Res Ther. 2017;89:57-65. doi: 10.1016/j.brat.2016.11.009. PMID: 27894058.",45948,2019
acierno2017_PCL_B_0_ITT,Psychotherapy,PTSD,150,B,PTSD,,64,,PE delivered via home-based telehealth,Prolonged Exposure (PE),Yes,TF,No,Not Applicable,No,Not Applicable,No,No,No,No,No,Individual,Video,74,Self report,PCL,PCL-M,ITT,Multiple imputation,Mixed effects model; non-inferiority margin (delta) set at 8.8 for PCL and 5 for BDI-II and analyses conducted with per-protocol sample.,End of Treatment,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Veteran,,1,,0.0379,,0.9621,Combat-related,,Medium,"Acierno RE, Knapp RG, Tuerk PW, et al. A non-inferiority trial of prolonged exposure for posttraumatic stress disorder: in person versus home-based telehealth. Behav Res Ther. 2017;89:57-65. doi: 10.1016/j.brat.2016.11.009. PMID: 27894058.",45948,2019
acierno2017_PCL_B_12_Comp,Psychotherapy,PTSD,150,B,PTSD,,43,,PE delivered via home-based telehealth,Prolonged Exposure (PE),Yes,TF,No,Not Applicable,No,Not Applicable,No,No,No,No,No,Individual,Video,74,Self report,PCL,PCL-M,Completer,Multiple imputation,Mixed effects model; non-inferiority margin (delta) set at 8.8 for PCL and 5 for BDI-II and analyses conducted with per-protocol sample.,Assessment at 3 to <6 Months,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Veteran,,1,,0.0379,,0.9621,Combat-related,,Medium,"Acierno RE, Knapp RG, Tuerk PW, et al. A non-inferiority trial of prolonged exposure for posttraumatic stress disorder: in person versus home-based telehealth. Behav Res Ther. 2017;89:57-65. doi: 10.1016/j.brat.2016.11.009. PMID: 27894058.",45948,2019
acierno2017_PCL_B_12_ITT,Psychotherapy,PTSD,150,B,PTSD,,64,,PE delivered via home-based telehealth,Prolonged Exposure (PE),Yes,TF,No,Not Applicable,No,Not Applicable,No,No,No,No,No,Individual,Video,74,Self report,PCL,PCL-M,ITT,Multiple imputation,Mixed effects model; non-inferiority margin (delta) set at 8.8 for PCL and 5 for BDI-II and analyses conducted with per-protocol sample.,Assessment at 3 to <6 Months,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Veteran,,1,,0.0379,,0.9621,Combat-related,,Medium,"Acierno RE, Knapp RG, Tuerk PW, et al. A non-inferiority trial of prolonged exposure for posttraumatic stress disorder: in person versus home-based telehealth. Behav Res Ther. 2017;89:57-65. doi: 10.1016/j.brat.2016.11.009. PMID: 27894058.",45948,2019
acierno2017_PCL_B_26_Comp,Psychotherapy,PTSD,150,B,PTSD,,43,,PE delivered via home-based telehealth,Prolonged Exposure (PE),Yes,TF,No,Not Applicable,No,Not Applicable,No,No,No,No,No,Individual,Video,74,Self report,PCL,PCL-M,Completer,Multiple imputation,Mixed effects model; non-inferiority margin (delta) set at 8.8 for PCL and 5 for BDI-II and analyses conducted with per-protocol sample.,Assessment at 6 to <12 Months,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Veteran,,1,,0.0379,,0.9621,Combat-related,,Medium,"Acierno RE, Knapp RG, Tuerk PW, et al. A non-inferiority trial of prolonged exposure for posttraumatic stress disorder: in person versus home-based telehealth. Behav Res Ther. 2017;89:57-65. doi: 10.1016/j.brat.2016.11.009. PMID: 27894058.",45948,2019
acierno2017_PCL_B_26_ITT,Psychotherapy,PTSD,150,B,PTSD,,64,,PE delivered via home-based telehealth,Prolonged Exposure (PE),Yes,TF,No,Not Applicable,No,Not Applicable,No,No,No,No,No,Individual,Video,74,Self report,PCL,PCL-M,ITT,Multiple imputation,Mixed effects model; non-inferiority margin (delta) set at 8.8 for PCL and 5 for BDI-II and analyses conducted with per-protocol sample.,Assessment at 6 to <12 Months,26,,,,,,,,,,,,,Slope,-1.8,,,,p<0.0001,,,,,,,,,,,,,,Veteran,,1,,0.0379,,0.9621,Combat-related,,Medium,"Acierno RE, Knapp RG, Tuerk PW, et al. A non-inferiority trial of prolonged exposure for posttraumatic stress disorder: in person versus home-based telehealth. Behav Res Ther. 2017;89:57-65. doi: 10.1016/j.brat.2016.11.009. PMID: 27894058.",45948,2019
acierno2017_PCL_B_Baseline_Comp,Psychotherapy,PTSD,150,B,PTSD,,43,,PE delivered via home-based telehealth,Prolonged Exposure (PE),Yes,TF,No,Not Applicable,No,Not Applicable,No,No,No,No,No,Individual,Video,74,Self report,PCL,PCL-M,Completer,Multiple imputation,Mixed effects model; non-inferiority margin (delta) set at 8.8 for PCL and 5 for BDI-II and analyses conducted with per-protocol sample.,Baseline,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Veteran,,1,,0.0379,,0.9621,Combat-related,,Medium,"Acierno RE, Knapp RG, Tuerk PW, et al. A non-inferiority trial of prolonged exposure for posttraumatic stress disorder: in person versus home-based telehealth. Behav Res Ther. 2017;89:57-65. doi: 10.1016/j.brat.2016.11.009. PMID: 27894058.",45948,2019
acierno2017_PCL_B_Baseline_ITT,Psychotherapy,PTSD,150,B,PTSD,,64,,PE delivered via home-based telehealth,Prolonged Exposure (PE),Yes,TF,No,Not Applicable,No,Not Applicable,No,No,No,No,No,Individual,Video,74,Self report,PCL,PCL-M,ITT,Multiple imputation,Mixed effects model; non-inferiority margin (delta) set at 8.8 for PCL and 5 for BDI-II and analyses conducted with per-protocol sample.,Baseline,,,60.1,11.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Veteran,,1,,0.0379,,0.9621,Combat-related,,Medium,"Acierno RE, Knapp RG, Tuerk PW, et al. A non-inferiority trial of prolonged exposure for posttraumatic stress disorder: in person versus home-based telehealth. Behav Res Ther. 2017;89:57-65. doi: 10.1016/j.brat.2016.11.009. PMID: 27894058.",45948,2019
adenauer2011_CAPS_A_16_Comp,Psychotherapy,PTSD,34,A,PTSD,,11,,NET,Narrative Exposure Therapy (NET),Yes,TF,No,Not Applicable,No,Not Applicable,No,No,No,No,No,Individual,In Person,16,Structured Clinical Interview,CAPS,CAPS,Completer,,Repeated-measures ANOVA with Greenhouse-Geisser's correction of the degrees of freedom as needed; post-hoc Tukey's honest significant difference test; Cohen's d effect sizes,Assessment at 3 to <6 Months,16,,52.8,18.8,,,,,-35.2,,,,,Cohen's d,2.21,,,,p<0.001,,,,,,,,Not meeting criteria for PTSD according to CAPS,0.4545,,,,,Community,,,1,0.4412,,0.5588,Terrorism/political violence/forced displacement,,High,"Adenauer H, Catani C, Gola H, et al. Narrative exposure therapy for PTSD increases top-down processing of aversive stimuli -- evidence from a randomized controlled treatment trial. BMC Neurosci. 2011 Dec 19;12:127. doi: 10.1186/1471-2202-12-127. PMID: 22182346.",37889,2019
